N.B: Wdir (wave heading TOWARDS)= N=0deg E=270 deg S= 180 deg W=90deg  
Data from hindcast set 1/1/1954 00:00 to 12/31/2008 21:00, created by Oceanweather Inc. on 11/06/2009  
Location: M3 Grid Point 10613  Lat 41.5n  Long 9.0w  Depth 159.5327m  
Table lists percentages 

OrcaFlex (TOWARDS, +CCW) Wave Heading:  165 to 195 deg
foo,0.0-0.5 (m),0.5-1.0 (m),1.0-1.5 (m),1.5-2.0 (m),2.0-2.5 (m),2.5-3.0 (m),3.0-3.5 (m),3.5-4.0 (m),4.0-4.5 (m),4.5-5.0 (m),5.0-5.5 (m),5.5-6.0 (m),6 +,Sum,
0-1 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
1-2 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
2-3 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
3-4 (s),0.003771,0.178503,0.014456,0.000629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.197359, 
4-5 (s),0.000000,0.284096,1.008165,0.035198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.327459, 
5-6 (s),0.003143,0.060339,0.487740,0.702698,0.039597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.293518, 
6-7 (s),0.000000,0.065996,0.047140,0.144562,0.155247,0.013828,0.003143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.429916, 
7-8 (s),0.031427,0.455057,0.675043,0.104965,0.125706,0.108736,0.038969,0.005028,0.000629,0.000000,0.000000,0.000000,0.000000,1.545559, 
8-9 (s),0.010057,0.180389,0.309238,0.053425,0.005657,0.000000,0.000629,0.003143,0.000629,0.000000,0.000000,0.000000,0.000000,0.563164, 
9-10 (s),0.013199,0.252670,0.496540,0.279068,0.038340,0.005657,0.001257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.086731, 
10-11 (s),0.006914,0.169075,0.541794,0.420488,0.160276,0.038340,0.002514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.339401, 
11-12 (s),0.010685,0.136391,0.281582,0.290382,0.129478,0.017599,0.002514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.868631, 
12-13 (s),0.001257,0.016970,0.077938,0.087994,0.077309,0.027027,0.008171,0.000629,0.000000,0.000000,0.000000,0.000000,0.000000,0.297295, 
13-14 (s),0.000629,0.012571,0.064110,0.064110,0.050911,0.025141,0.013828,0.004400,0.000629,0.000000,0.000000,0.000000,0.000000,0.236328, 
14-15 (s),0.009428,0.048397,0.084223,0.040226,0.016970,0.009428,0.003143,0.003143,0.000000,0.000000,0.000000,0.000000,0.000000,0.214958, 
15 +,0.006914,0.016342,0.031427,0.021370,0.010057,0.005028,0.003771,0.003143,0.000000,0.000000,0.000000,0.000000,0.000000,0.098051, 
Sum, 0.097422,1.876795,4.119396,2.245115,0.809549,0.250784,0.077938,0.019484,0.001886,0.000000,0.000000,0.000000,0.000000,9.498369, 

OrcaFlex (TOWARDS, +CCW) Wave Heading:  195 to 225 deg
foo,0.0-0.5 (m),0.5-1.0 (m),1.0-1.5 (m),1.5-2.0 (m),2.0-2.5 (m),2.5-3.0 (m),3.0-3.5 (m),3.5-4.0 (m),4.0-4.5 (m),4.5-5.0 (m),5.0-5.5 (m),5.5-6.0 (m),6 +,Sum,
0-1 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
1-2 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
2-3 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
3-4 (s),0.000629,0.020742,0.003771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025141, 
4-5 (s),0.000629,0.055939,0.077309,0.003143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.137020, 
5-6 (s),0.003771,0.103079,0.111250,0.077309,0.002514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.297924, 
6-7 (s),0.002514,0.194216,0.149591,0.071653,0.035826,0.001886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.455685, 
7-8 (s),0.077938,1.087988,1.306717,0.402260,0.151476,0.085480,0.043369,0.004400,0.000000,0.000000,0.000000,0.000000,0.000000,3.159628, 
8-9 (s),0.029541,0.654930,1.332487,0.358263,0.086737,0.035198,0.014456,0.005657,0.000000,0.000000,0.000000,0.000000,0.000000,2.517269, 
9-10 (s),0.026398,0.617847,1.548073,0.958511,0.271526,0.120678,0.043997,0.010685,0.003143,0.000000,0.000000,0.000000,0.000000,3.600857, 
10-11 (s),0.034569,0.464485,1.137014,1.062218,0.495283,0.256441,0.077309,0.016970,0.007542,0.001257,0.000629,0.000000,0.000000,3.553717, 
11-12 (s),0.019484,0.299181,0.712755,0.696413,0.381519,0.191702,0.089880,0.039597,0.021999,0.009428,0.003771,0.000000,0.000629,2.466358, 
