WFKOWL 
N.B: Wdir (wave heading TOWARDS)= N=0deg E=270 deg S= 180 deg W=90deg  

OrcaFlex (TOWARDS, +CCW) Wave Heading:  -15 to 15 deg
foo,0.0-1.0 (m),1.0-2.0 (m),2.0-3.0 (m),3.0-4.0 (m),4.0-5.0 (m),5.0-6.0 (m),6.0-7.0 (m),7.0-8.0 (m),8.0-9.0 (m),9.0-10.0 (m),10.0-11.0 (m),11.0-12.0 (m),12.0-13.0 (m),13 +,Sum,
0-1 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
1-2 (s),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000, 
2-3 (s),0.042647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042647, 
3-4 (s),0.998405,0.038557,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.036963, 
4-5 (s),0.650804,1.125762,0.002921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.779486, 
5-6 (s),0.056668,1.513673,0.286260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.856601, 
6-7 (s),0.007595,0.270487,1.154972,0.199798,0.001168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.634019, 
7-8 (s),0.003505,0.013437,0.084710,0.286844,0.037389,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.425885, 
8-9 (s),0.002337,0.002921,0.007595,0.054915,0.110415,0.013437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.191619, 
9-10 (s),0.004089,0.002337,0.002921,0.005842,0.020447,0.019279,0.005842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060757, 
